post,username,mbti,titles_all
18456,aquamarine, INTP - The Thinkers,"['Belinda Carlisle - Vision Of You  ', '\\xe7\\xad\\x86\\xe9\\x86\\xac--1030', 'Zhang Yun Jing  - 1030', '1030 \\xe5\\xbc\\xb5\\xe8\\x8a\\xb8\\xe4\\xba\\xac+ \\xe7\\xad\\x86\\xe9\\x86\\xac\\xe6\\xa8\\x82\\xe5\\x9c\\x98 \\xe5\\xb0\\x8f\\xe8\\xab\\x96']"
18457,aya-the-abysswalker, ENFP,[]
18458,atherys, INTP - The Thinkers,['Yoko Kanno - Torukia']
18459,aya-the-abysswalker, ENFP,"[""Deus Ex: Human Revolution OST  - 24: Adam Jensen's Apartment""]"
18460,eerie, INTP - The Thinkers,['Enigma - Return To Innocence']
18461,kaiserinrose, ISFJ - The Nurturers,['Better Things - Massive Attack']
18462,bipedal-p-314, INTP,['MESHUGGAH - Combustion  !']
18463,aquamarine, INTP - The Thinkers,"['\\xe5\\xbd\\x93\\xe4\\xbd\\xa0\\xe5\\xad\\xa4\\xe5\\x8d\\x95\\xe4\\xbd\\xa0\\xe4\\xbc\\x9a\\xe6\\x83\\xb3\\xe8\\xb5\\xb7\\xe8\\xb0\\x81 - Dang Ni Gu Dan Ni Hui Xiang Qi Shui ', ' Let Me Take Care of You \\xe8\\xae\\x93\\xe6\\x88\\x91\\xe7\\x85\\xa7\\xe9\\xa1\\xa7\\xe4\\xbd\\xa0 MV- Jing']"
18464,aya-the-abysswalker, ENFP,"['Arctic Monkeys - If You Were There, Beware']"
18465,who, ENTP - The Visionaries,[]
18466,whereverimayroam, Unknown Personality,['Deftones - Diamond Eyes ']
18467,eerie, INTP - The Thinkers,['Fuck the Pain Away- Teaches of Peaches']
18468,yet-another-intj, INTJ,['The Mars Volta - Tetragrammaton ']
18469,jasper-yuuki, INTJ - The Scientists,"['PSY - Gentleman   ', 'PSY - GENTLEMAN M/V']"
18470,disfigurine, Unknown Personality,['Grimes - Genesis']
18471,aquamarine, INTP - The Thinkers,"['Michael Jackson - Heal The World ', ""Bon Jovi - It's My Life""]"
18472,error, Unknown Personality,['Io Echo- I want you ']
18473,windowlicker, Unknown Personality,['4. How To Disappear Completely']
18474,aya-the-abysswalker, ENFP,[' The Protomen - Act II - The Hounds']
18475,orchidion, Unknown,[]
18476,eerie, INTP - The Thinkers,['M.I.A - /\\\\/\\\\/\\\\Y/\\\\ - STEPPIN UP']
18477,aya-the-abysswalker, ENFP,"[""OC ReMix #2328: Legend of Zelda: Ocarina of Time 'Thunderstruck'  by Big Giant Circles""]"
18478,heaveninawildflower, Unknown,['Godsmack - Serenity']
18479,gammagon, Unknown,['Creedence Clearwater Revival: Fortunate Son']
18480,peabrane, Unknown Personality,['HAIM - Falling']
18481,orchidion, Unknown,[]
18482,brian1, ESTP - The Doers,['Led Zeppelin - Stairway to Heaven Live at the O2 Arena Reunion Concert ']
18483,theupwarddescent, INTJ - The Scientists,['Shpongle Live @ London - Nothing is something worth doing .avi']
18484,uninfalliple, INFP - The Idealists,"[""Industries Of The Blind - The Lights Weren't That Bright, But Our Eyes Were So Tired ""]"
18485,proteus, INTP - The Thinkers,"[""Tom Petty And The Heartbreakers - Don't Come Around Here No More""]"
18486,uninfalliple, INFP - The Idealists,['The Cinematic Orchestra   First light']
18487,aya-the-abysswalker, ENFP,"['Shingeki no Kyojin \\xe9\\x80\\xb2\\xe6\\x92\\x83\\xe3\\x81\\xae\\xe5\\xb7\\xa8\\xe4\\xba\\xba OP / Opening - ""Guren no Yumiya"" - Linked Horizon']"
18488,kaisikudo, INFP - The Idealists,['Rachel Grimes - Bloodroot']
18489,aya-the-abysswalker, ENFP,['Kasabian - Club Foot ']
18490,helios, ENTJ - The Executives,[]
18491,yet-another-intj, INTJ,[]
18492,theprocrastinatingmaster, INTP - The Thinkers,[]
18493,aquamarine, INTP - The Thinkers,"['Ingrid Michaelson -  Everybody', 'Nobody But You  - Wonder Girls']"
18494,aquamarine, INTP - The Thinkers,"['Eternal Flame""  - The Bangles - Lilith Fair - Mtn. View, Shoreline - July 5, 2010', '20100327 \\xe6\\x9d\\x8e\\xe5\\xae\\x87\\xe6\\x98\\xa5\\xe5\\x8d\\x97\\xe4\\xba\\xacWHYME\\xe6\\xbc\\x94\\xe5\\x94\\xb1\\xe6\\x9c\\x83  ']"
18495,aya-the-abysswalker, ENFP,['Cynic - The Space For This']
18496,cheveyo, Unknown,['Blues Brothers - Minnie The Moocher']
18497,phony, Unknown Personality,[]
18498,who, ENTP - The Visionaries,[]
18499,kaiserinrose, ISFJ - The Nurturers,['Noisettes - Every Now And Then']
18500,blindsight, INFJ - The Protectors,[]
18501,aquamarine, INTP - The Thinkers,"[""Amy Grant - That's What Love Is For ""]"
18502,rowenalexicon, INFJ - The Protectors,['She Said by Plan B :)']
