,0,1,2,3,4,5,6,7,8,9
92,"Yeah this one right here goes out to all the baby's mamas, mamas Mamas, mamas, baby mamas, mamas Yeah, go like this I'm sorry Ms. Jackson (oh), I am for real Never meant to make your daughter cry I apologize a trillion times I'm sorry Ms. Jackson (oh), I am for real Never meant to make your daughter cry I apologize a trillion times My baby's drama mama, don't like me She be doing things like having them boys come from her neighborhood To the studio trying to fight me She need to get a, piece of the american pie and take her bite out That's my house, I'll disconnect the cable and turn the lights out And let her know her grandchild is a baby, and not a paycheck Private school, daycare, shit medical bills I pay that I love your mom and everything, but see I ain't the one who laid down She wanna rib you up to start a custody war, my lawyers stay down Shit you never got a chance to hear my side of the story we was divided She had fish fries and cookouts for my child's birthday I ain't invited Despite it, I show her the utmost respect when I fall through All you, do is defend that lady when I call you, yeah I'm sorry Ms. Jackson (oh), I am for real Never meant to make your daughter cry I apologize a trillion times I'm sorry Ms. Jackson (oh), I am for real Never meant to make your daughter cry I apologize a trillion times Me and yo' daughter, got's this thing going on (We got a special kind of thing going on) You say it's puppy love We say it's full grown Hope that we feel this, feel this way forever You can plan a pretty picnic But you can't predict the weather, Ms. Jackson Ten times out of nine, now if I'm lyin; fine The quickest muzzle throw it on my mouth and I'll decline King meets queen, then the puppy love thing, together dream Bout that crib with the Goodyear swing On the oak tree, I hope we feel like this forever Forever, forever, ever, forever, ever? Forever never seems that long until you're grown And notice that the day by day ruler can't be too wrong Ms. Jackson my intentions were good I wish I could Become a magician to abacadabra all the sadder Thoughts of me, thoughts of she, thoughts of he Asking what happened to the feeling that her and me Had, I pray so much about it need some knee, pads It happened for a reason one can't be, mad So know this, know that everything's cool And yes I will be present on the first day of school, and graduation I'm sorry Ms. Jackson (oh), I am for real Never meant to make your daughter cry I apologize a trillion times I'm sorry Ms. Jackson (oh), I am for real Never meant to make your daughter cry I apologize a trillion times Uh, uh, yeah ""Look at the way he treats me"" Shit, look at the way you treat me You see your little nosy-ass home girls Done got your ass sent up the creek G Without a paddle, you left to straddle And ride this thing on out Now you and your girl ain't speaking no more Cause my dick all in her mouth Know what I'm talking about?  Jealousy, infidelity, envy Cheating to beating, envy and to the G they be the same thing So who you placing the blame on, you keep on singing the same song Let bygones be bygones, you can go on and get the hell on You and your mama I'm sorry Ms. Jackson (oh), I am for real Never meant to make your daughter cry I apologize a trillion times I'm sorry Ms. Jackson (oh), I am for real Never meant to make your daughter cry I apologize a trillion times I'm sorry Ms. Jackson (oh), I am for real Never meant to make your daughter cry I apologize a trillion times I'm sorry Ms. Jackson (oh), I am for real Never meant to make your daughter cry I apologize a trillion times",,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,"Take time to realize That your warmth is Crashing down on me Take time to realize That I am on your side Didn't I, didn't I tell you? But I can't spell it out for you No, it's never gonna be that simple No, I can't spell it out for you If you just realize what I just realized Then we'd be perfect for each other and we'd never find another Just realize what I just realized We'd never have to wonder if we missed out on each other, now Take time to realize Oh, oh, I'm on your side Didn't I, didn't I tell you? Take time to realize This all could pass you by Didn't I tell you? But I can't spell it out for you No, it's never gonna be that simple No, I can't spell it out for you If you just realize what I just realized Then we'd be perfect for each other and we'll never find another Just realize what I just realized We'd never have to wonder if we missed out on each other, but It's not the same No, it's never the same If you don't feel it, too If you meet me half way If you would meet me half way It could be the same for you If you just realize what I just realized Then we'd be perfect for each other and we'll never find another Just realize what I just realized We'd never have to wonder Just realize what I just realized If you just realize what I just realized Missed out on each other now Missed out on each other now Realize, realize, realize, realize",,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,"La la la la la la la la la  La la la la la la la  La la la la la la la la la  La la la la la la la  When you're feelin' sad and low  We will take you where you gotta go  Smilin', dancin', everything is free  All you need is positivity  Colours of the world  Spice up your life  Every boy and every girl  Spice up your life  People of the world  Spice up your life  Aah  Slam it to the left  If you're havin' a good time  Shake it to the right  If ya know that you feel fine  Chicas to the front  Ha ha (uh uh)  Go round  Slam it to the left  If you're havin' a good time  Shake it to the right  If ya know that you feel fine  Chicas to the front  Ha ha  Hai Si Ja  Hold tight  La la la la la la la la la  La la la la la la la  La la la la la la la la la  La la la la la la la  Yellow man in Timbuktu  Colour for both me and you  Kung Fu Fighting  Dancing Queen  Tribal Spaceman  And all that's in between  Colours of the world  Spice up your life  Every boy and every girl  Spice up your life  People of the world  Spice up your life  Aah Slam it to the left  If you're havin' a good time  Shake it to the right  If ya know that you feel fine  Chicas to the front  Ha ha  Go round  Slam it to the left  If you're havin' a good time  Shake it to the right  If ya know that you feel fine  Chicas to the front  Ha ha  Hai Si Ja  Hold tight  Flamenco  Lambada  But hip-hop is harder  We moonwalk the foxtrot  Then polka the salsa  Shake it, shake it, shake it  Haka  Shake it, shake it, shake it  Haka  Arriba aha Colours of the world  Spice up your life  Every boy and every girl  Spice up your life  People of the world  Spice up your life  Aah Slam it to the left  If you're havin' a good time  Shake it to the right  If ya know that you feel fine  Chicas to the front  Ha ha (uh uh)  Go round  Slam it to the left  If you're havin' a good time  Shake it to the right  If ya know that you feel fine  Chicas to the front  Ha ha (uh uh)  Hai Si Ja  Hold tight  Slam it to the left  If you're havin' a good time  Shake it to the right  If ya know that you feel fine  Chicas to the front  Ha ha  Go round  Slam it to the left  If you're havin' a good time  Shake it to the right  If ya know that you feel fine  Chicas to the front  Ha ha  Hai Si Ja  Hold tight",,,,,,,,,
